id,etiqueta,bytes,url
1-s6IUhjjuzTFOVMRSUUkh35mV7_cST-u,(sin etiqueta visible),81815558,https://drive.google.com/uc?export=download&id=1-s6IUhjjuzTFOVMRSUUkh35mV7_cST-u
1bxssJ4tWFbLre4JRMH1yIu3UVXlQgQ00,(sin etiqueta visible),74487199,https://drive.google.com/uc?export=download&id=1bxssJ4tWFbLre4JRMH1yIu3UVXlQgQ00
18WbNz20CcoiWFVnDua6T3-bekoNnZYcu,(sin etiqueta visible),59686336,https://drive.google.com/uc?export=download&id=18WbNz20CcoiWFVnDua6T3-bekoNnZYcu
19y9A3ZtMrlWoKisU-VY6o5C6lf2KiDFj,(sin etiqueta visible),51749900,https://drive.google.com/uc?export=download&id=19y9A3ZtMrlWoKisU-VY6o5C6lf2KiDFj
1i8S9A-58kZsW1_2_uq6xY6uxYdVBR_Fq,(sin etiqueta visible),35581510,https://drive.google.com/uc?export=download&id=1i8S9A-58kZsW1_2_uq6xY6uxYdVBR_Fq
1_piBtl_BO-x53ghq6Zx3kHtVF-laOxgg,(sin etiqueta visible),18364647,https://drive.google.com/uc?export=download&id=1_piBtl_BO-x53ghq6Zx3kHtVF-laOxgg
1zYxOqZDHL8v18R1_btbhVtuJgUveT6AQ,Manual E2P,16223702,https://drive.google.com/uc?export=download&id=1zYxOqZDHL8v18R1_btbhVtuJgUveT6AQ
1nSOgRML7kyfMQSc6yQpC5vz2a0T3m0Tv,ROP 11 DE SEPTIEMBRE 2024,6249880,https://drive.google.com/uc?export=download&id=1nSOgRML7kyfMQSc6yQpC5vz2a0T3m0Tv
1Nkmtmy7NIHS3AGXUsk11e3DZ7wxp_r2Z,Informe Anual 202 5,3800732,https://drive.google.com/uc?export=download&id=1Nkmtmy7NIHS3AGXUsk11e3DZ7wxp_r2Z
1hGiMlC2RdNISb0_iB6CZ5sqTVbG3SL_P,(sin etiqueta visible),3504938,https://drive.google.com/uc?export=download&id=1hGiMlC2RdNISb0_iB6CZ5sqTVbG3SL_P
1Qx-bVx3zaZHD83L915AWYlZBwNTt3JZt,Informe Anual 2023,3483597,https://drive.google.com/uc?export=download&id=1Qx-bVx3zaZHD83L915AWYlZBwNTt3JZt
1DnL8wvYJwzNuq0FZE0Ep83gJ9UlHQbQt,(sin etiqueta visible),3066786,https://drive.google.com/uc?export=download&id=1DnL8wvYJwzNuq0FZE0Ep83gJ9UlHQbQt
1CNu4yHktYnFE2VwTxj6sAbAlvy-lkJDA,GUÍA PARA EL LLENADO DE TRANSPARENCIA DEL SAT,3011483,https://drive.google.com/uc?export=download&id=1CNu4yHktYnFE2VwTxj6sAbAlvy-lkJDA
1rt2jnQPimtZSbFfjwfyaHx07as7dfGx0,REFORMA A ROP 2025 DEL 31 DE OCTUBRE DE 2025,2986024,https://drive.google.com/uc?export=download&id=1rt2jnQPimtZSbFfjwfyaHx07as7dfGx0
19J-lLTDfjyTZE2XCoAFUzuJjNNuz4wkc,(sin etiqueta visible),2786997,https://drive.google.com/uc?export=download&id=19J-lLTDfjyTZE2XCoAFUzuJjNNuz4wkc
1bz8EGy_dm1wO7E4y6cOnMeVneEB1wPFw,ROP 20 DE MARZO 202 0,2715455,https://drive.google.com/uc?export=download&id=1bz8EGy_dm1wO7E4y6cOnMeVneEB1wPFw
1MDf2qf0NLvvMNZ48cO6dQOMYNGTVOhxD,(sin etiqueta visible),2668932,https://drive.google.com/uc?export=download&id=1MDf2qf0NLvvMNZ48cO6dQOMYNGTVOhxD
1LS6uWFDfgEBtrAR0JEgJlfQw6hPf3L7P,Informe Anual 202 4,2664342,https://drive.google.com/uc?export=download&id=1LS6uWFDfgEBtrAR0JEgJlfQw6hPf3L7P
19IfKlQ0l9aTx7j2gVhcoQod06In2niqJ,(sin etiqueta visible),2619072,https://drive.google.com/uc?export=download&id=19IfKlQ0l9aTx7j2gVhcoQod06In2niqJ
13kaEuiBNUOvmZC3dL5777UNZgWlFLbri,(sin etiqueta visible),2609666,https://drive.google.com/uc?export=download&id=13kaEuiBNUOvmZC3dL5777UNZgWlFLbri
1ku6XOCwiBm9ONfkCbk1ZSUHxRvXjxvMc,ROP 8 DE SEPTIEMBRE 20 25,2423063,https://drive.google.com/uc?export=download&id=1ku6XOCwiBm9ONfkCbk1ZSUHxRvXjxvMc
15ubM8N6Ga_A9DkEeTzZ84iAuT2ipM7HO,(sin etiqueta visible),2374152,https://drive.google.com/uc?export=download&id=15ubM8N6Ga_A9DkEeTzZ84iAuT2ipM7HO
1JHR5bkwYo2GCZUpptuHtB3QczoOBK05V,(sin etiqueta visible),2168969,https://drive.google.com/uc?export=download&id=1JHR5bkwYo2GCZUpptuHtB3QczoOBK05V
1wXLrsxLuTLvqZ251_VP_K3QemIxPKfdd,(sin etiqueta visible),2117854,https://drive.google.com/uc?export=download&id=1wXLrsxLuTLvqZ251_VP_K3QemIxPKfdd
1tfv5Ce0hZyeBUE82PVDqH1Th37T_ZAvB,Inversión Social,1490108,https://drive.google.com/uc?export=download&id=1tfv5Ce0hZyeBUE82PVDqH1Th37T_ZAvB
1eWsl8Cr1JfxUVg2ylzYPS9VuyOLlvWNO,Mensual,1274873,https://drive.google.com/uc?export=download&id=1eWsl8Cr1JfxUVg2ylzYPS9VuyOLlvWNO
1cxITKdiZLQvld3A3W129JxeKnCXLfpnh,Fortalecimiento,1167345,https://drive.google.com/uc?export=download&id=1cxITKdiZLQvld3A3W129JxeKnCXLfpnh
1SqFstJlw4T8rmuW_c7RDoJX4a9Z0Pk1i,(sin etiqueta visible),1144643,https://drive.google.com/uc?export=download&id=1SqFstJlw4T8rmuW_c7RDoJX4a9Z0Pk1i
1tE4byVSCZ53_p429BVekIpy3F6tHWV7R,(sin etiqueta visible),1130503,https://drive.google.com/uc?export=download&id=1tE4byVSCZ53_p429BVekIpy3F6tHWV7R
1C4QYsDBNAUyx1Q5arpoBHvdkhegC3q5t,(sin etiqueta visible),1082029,https://drive.google.com/uc?export=download&id=1C4QYsDBNAUyx1Q5arpoBHvdkhegC3q5t
1o9w6JKXcymyVywH7Umu2XDLjJdc_Fa33,(sin etiqueta visible),1079486,https://drive.google.com/uc?export=download&id=1o9w6JKXcymyVywH7Umu2XDLjJdc_Fa33
1fNP_dk2v8cCdElMk1BBvJGahO7T5TIfo,(sin etiqueta visible),1033497,https://drive.google.com/uc?export=download&id=1fNP_dk2v8cCdElMk1BBvJGahO7T5TIfo
1Bc0LOQpWLXyZAe8Pwqz1C2lu_RO9ggnZ,(sin etiqueta visible),996366,https://drive.google.com/uc?export=download&id=1Bc0LOQpWLXyZAe8Pwqz1C2lu_RO9ggnZ
1Nc_txswmN6eBqtNxw8iTWwoQq1-XwKLb,(sin etiqueta visible),948575,https://drive.google.com/uc?export=download&id=1Nc_txswmN6eBqtNxw8iTWwoQq1-XwKLb
1auaZo9ceQRbv9WnOyqR8vqAZTtCTlLWw,(sin etiqueta visible),931020,https://drive.google.com/uc?export=download&id=1auaZo9ceQRbv9WnOyqR8vqAZTtCTlLWw
1GHQpL0NNCxXu78eSQjGdWNlXaSsuFWzO,Resultados Inversión Social Anual,728336,https://drive.google.com/uc?export=download&id=1GHQpL0NNCxXu78eSQjGdWNlXaSsuFWzO
1uKgf54_r4IF8OLnU6wFlAT7HjPyunt7V,Prevención de la Violencia Contra las Mujeres,715450,https://drive.google.com/uc?export=download&id=1uKgf54_r4IF8OLnU6wFlAT7HjPyunt7V
1IeoZDdGWCMfVrBWkzXxWQG4PBtOEi_-9,(sin etiqueta visible),713187,https://drive.google.com/uc?export=download&id=1IeoZDdGWCMfVrBWkzXxWQG4PBtOEi_-9
1lR7EYZ04ZaNeFCme5m82iqDJvvH3y969,Desarrollo Comunitario Integral,684435,https://drive.google.com/uc?export=download&id=1lR7EYZ04ZaNeFCme5m82iqDJvvH3y969
1do_HaLmFuHfzNulKfFgwOP9_hN0T0Tni,Prevención Social,674685,https://drive.google.com/uc?export=download&id=1do_HaLmFuHfzNulKfFgwOP9_hN0T0Tni
1ua1wZqtWsaW-Wruqyj19GZGb36Kd4KVq,CRITERIOS DE APOYO A OSC 2015,670815,https://drive.google.com/uc?export=download&id=1ua1wZqtWsaW-Wruqyj19GZGb36Kd4KVq
11xXJd0Hu1CwakPJfaQQNkoe7v5_g1pUy,"Desarrollo Integral de Niñas, Niños y Jóvenes",657075,https://drive.google.com/uc?export=download&id=11xXJd0Hu1CwakPJfaQQNkoe7v5_g1pUy
1G8WbK3FhSnijfdnAzkmCqyOkbVA9Dc1d,Resultados Inclusión Prioritaria,654076,https://drive.google.com/uc?export=download&id=1G8WbK3FhSnijfdnAzkmCqyOkbVA9Dc1d
17hog_YFXynSBbMRuzh90cj4n1JwdLmZa,Desarrollo Integral de Indígenas,652350,https://drive.google.com/uc?export=download&id=17hog_YFXynSBbMRuzh90cj4n1JwdLmZa
1z87J_cGyqdM6BQb7V72CVTbpFTJJglQ8,Reconstrucción del Tejido Social,652147,https://drive.google.com/uc?export=download&id=1z87J_cGyqdM6BQb7V72CVTbpFTJJglQ8
18xBdxnPhv5C7T-qcP4MOCahIhtlMpDKv,Infraestructura Frente al COVID-19,644245,https://drive.google.com/uc?export=download&id=18xBdxnPhv5C7T-qcP4MOCahIhtlMpDKv
1gpdNM1d-yQbh_74lYKW5BgO-y6Z7M9-_,Personas con Discapacidad,643811,https://drive.google.com/uc?export=download&id=1gpdNM1d-yQbh_74lYKW5BgO-y6Z7M9-_
1vip8HeneGeIWQbX-oGa_TlTnRxVcf1Dw,Protección Social,624433,https://drive.google.com/uc?export=download&id=1vip8HeneGeIWQbX-oGa_TlTnRxVcf1Dw
12_JDPYWaOREO6yZP9BreHr0AoE5TQ16u,Primera Infancia,600083,https://drive.google.com/uc?export=download&id=12_JDPYWaOREO6yZP9BreHr0AoE5TQ16u
1TNI4OTiI1N5KOt6deDUtRl1WNwamtAk_,Cuestionario de Conducta Prosocial,583663,https://drive.google.com/uc?export=download&id=1TNI4OTiI1N5KOt6deDUtRl1WNwamtAk_
